"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"157","0.4099","0.4099","0.4099","0.5021","0.5021","0.5021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3811","0.3811","0.3811","0.2625","0.2625","0.2625","0.4271","0.4271","0.4271","0.4753","0.4753","0.4753"
"158","0.4136","0.4136","0.4136","0.5006","0.5006","0.5006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3846","0.3846","0.3846","0.2626","0.2626","0.2626","0.4416","0.4416","0.4416","0.482","0.482","0.482"
"159","0.4131","0.4131","0.4131","0.5043","0.5043","0.5043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3817","0.3817","0.3817","0.2634","0.2634","0.2634","0.4649","0.4649","0.4649","0.478","0.478","0.478"
"160","0.413","0.413","0.413","0.5018","0.5018","0.5018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3828","0.3828","0.3828","0.2637","0.2637","0.2637","0.447","0.447","0.447","0.4638","0.4638","0.4638"
"161","0.4151","0.4151","0.4151","0.5043","0.5043","0.5043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3873","0.3873","0.3873","0.2634","0.2634","0.2634","0.4287","0.4287","0.4287","0.4786","0.4786","0.4786"
"162","0.4176","0.4176","0.4176","0.5036","0.5036","0.5036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3792","0.3792","0.3792","0.2644","0.2644","0.2644","0.4512","0.4512","0.4512","0.439","0.439","0.439"
"163","0.4152","0.4152","0.4152","0.5049","0.5049","0.5049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3862","0.3862","0.3862","0.2652","0.2652","0.2652","0.4545","0.4545","0.4545","0.4791","0.4791","0.4791"
"164","0.4177","0.4177","0.4177","0.5026","0.5026","0.5026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.382","0.382","0.382","0.266","0.266","0.266","0.4516","0.4516","0.4516","0.4513","0.4513","0.4513"
"165","0.4152","0.4152","0.4152","0.5082","0.5082","0.5082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3775","0.3775","0.3775","0.2661","0.2661","0.2661","0.4578","0.4578","0.4578","0.4703","0.4703","0.4703"
"166","0.4181","0.4181","0.4181","0.5045","0.5045","0.5045","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.374","0.374","0.374","0.2672","0.2672","0.2672","0.4599","0.4599","0.4599","0.4524","0.4524","0.4524"
"167","0.4197","0.4197","0.4197","0.5071","0.5071","0.5071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3812","0.3812","0.3812","0.2684","0.2684","0.2684","0.4632","0.4632","0.4632","0.4604","0.4604","0.4604"
"168","0.4194","0.4194","0.4194","0.5058","0.5058","0.5058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3849","0.3849","0.3849","0.2682","0.2682","0.2682","0.4272","0.4272","0.4272","0.437","0.437","0.437"
"169","0.4185","0.4185","0.4185","0.5088","0.5088","0.5088","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3796","0.3796","0.3796","0.2669","0.2669","0.2669","0.4633","0.4633","0.4633","0.4478","0.4478","0.4478"
"170","0.4218","0.4218","0.4218","0.5106","0.5106","0.5106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3879","0.3879","0.3879","0.2682","0.2682","0.2682","0.4392","0.4392","0.4392","0.4756","0.4756","0.4756"
"171","0.4221","0.4221","0.4221","0.5081","0.5081","0.5081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383","0.383","0.383","0.2692","0.2692","0.2692","0.4617","0.4617","0.4617","0.4634","0.4634","0.4634"
"172","0.4221","0.4221","0.4221","0.5097","0.5097","0.5097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3879","0.3879","0.3879","0.2691","0.2691","0.2691","0.452","0.452","0.452","0.4754","0.4754","0.4754"
"173","0.4249","0.4249","0.4249","0.5098","0.5098","0.5098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3762","0.3762","0.3762","0.2693","0.2693","0.2693","0.4423","0.4423","0.4423","0.4644","0.4644","0.4644"
"174","0.4203","0.4203","0.4203","0.5115","0.5115","0.5115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3823","0.3823","0.3823","0.2687","0.2687","0.2687","0.4333","0.4333","0.4333","0.4702","0.4702","0.4702"
"175","0.4248","0.4248","0.4248","0.5133","0.5133","0.5133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3838","0.3838","0.3838","0.2709","0.2709","0.2709","0.4598","0.4598","0.4598","0.4824","0.4824","0.4824"
"176","0.426","0.426","0.426","0.5136","0.5136","0.5136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3849","0.3849","0.3849","0.2722","0.2722","0.2722","0.438","0.438","0.438","0.4764","0.4764","0.4764"
"177","0.4257","0.4257","0.4257","0.5091","0.5091","0.5091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3843","0.3843","0.3843","0.2722","0.2722","0.2722","0.4635","0.4635","0.4635","0.482","0.482","0.482"
"178","0.4247","0.4247","0.4247","0.509","0.509","0.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3828","0.3828","0.3828","0.2706","0.2706","0.2706","0.4624","0.4624","0.4624","0.4684","0.4684","0.4684"
"179","0.4238","0.4238","0.4238","0.5137","0.5137","0.5137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3846","0.3846","0.3846","0.2719","0.2719","0.2719","0.4549","0.4549","0.4549","0.4717","0.4717","0.4717"
"180","0.4261","0.4261","0.4261","0.51","0.51","0.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3877","0.3877","0.3877","0.2719","0.2719","0.2719","0.4317","0.4317","0.4317","0.4737","0.4737","0.4737"
"181","0.4237","0.4237","0.4237","0.5132","0.5132","0.5132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3743","0.3743","0.3743","0.2728","0.2728","0.2728","0.4553","0.4553","0.4553","0.4741","0.4741","0.4741"
"182","0.425","0.425","0.425","0.5164","0.5164","0.5164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.382","0.382","0.382","0.2731","0.2731","0.2731","0.4695","0.4695","0.4695","0.4808","0.4808","0.4808"
"183","0.4267","0.4267","0.4267","0.517","0.517","0.517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3808","0.3808","0.3808","0.2742","0.2742","0.2742","0.4649","0.4649","0.4649","0.4522","0.4522","0.4522"
"184","0.4264","0.4264","0.4264","0.5154","0.5154","0.5154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3817","0.3817","0.3817","0.2739","0.2739","0.2739","0.4599","0.4599","0.4599","0.4725","0.4725","0.4725"
"185","0.4271","0.4271","0.4271","0.5155","0.5155","0.5155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3825","0.3825","0.3825","0.2744","0.2744","0.2744","0.456","0.456","0.456","0.4743","0.4743","0.4743"
"186","0.4281","0.4281","0.4281","0.5179","0.5179","0.5179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3786","0.3786","0.3786","0.2753","0.2753","0.2753","0.4486","0.4486","0.4486","0.4783","0.4783","0.4783"
"187","0.4296","0.4296","0.4296","0.5142","0.5142","0.5142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3881","0.3881","0.3881","0.275","0.275","0.275","0.4641","0.4641","0.4641","0.4837","0.4837","0.4837"
"188","0.429","0.429","0.429","0.5157","0.5157","0.5157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3733","0.3733","0.3733","0.2757","0.2757","0.2757","0.4552","0.4552","0.4552","0.4669","0.4669","0.4669"
"189","0.4268","0.4268","0.4268","0.5119","0.5119","0.5119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3816","0.3816","0.3816","0.2767","0.2767","0.2767","0.4682","0.4682","0.4682","0.4695","0.4695","0.4695"
"190","0.4288","0.4288","0.4288","0.512","0.512","0.512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3855","0.3855","0.3855","0.2765","0.2765","0.2765","0.4474","0.4474","0.4474","0.4726","0.4726","0.4726"
"191","0.4298","0.4298","0.4298","0.5199","0.5199","0.5199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3798","0.3798","0.3798","0.2753","0.2753","0.2753","0.4765","0.4765","0.4765","0.4702","0.4702","0.4702"
"192","0.4299","0.4299","0.4299","0.5124","0.5124","0.5124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3763","0.3763","0.3763","0.2775","0.2775","0.2775","0.4586","0.4586","0.4586","0.4676","0.4676","0.4676"
"193","0.432","0.432","0.432","0.5205","0.5205","0.5205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3864","0.3864","0.3864","0.2771","0.2771","0.2771","0.4705","0.4705","0.4705","0.4589","0.4589","0.4589"
"194","0.4305","0.4305","0.4305","0.5208","0.5208","0.5208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3742","0.3742","0.3742","0.277","0.277","0.277","0.4704","0.4704","0.4704","0.4744","0.4744","0.4744"
"195","0.4321","0.4321","0.4321","0.5196","0.5196","0.5196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.383","0.383","0.383","0.2784","0.2784","0.2784","0.4675","0.4675","0.4675","0.4657","0.4657","0.4657"
"196","0.4301","0.4301","0.4301","0.5179","0.5179","0.5179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3788","0.3788","0.3788","0.2789","0.2789","0.2789","0.4626","0.4626","0.4626","0.4523","0.4523","0.4523"
"197","0.4323","0.4323","0.4323","0.5167","0.5167","0.5167","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3827","0.3827","0.3827","0.2788","0.2788","0.2788","0.4572","0.4572","0.4572","0.4589","0.4589","0.4589"
"198","0.4346","0.4346","0.4346","0.5172","0.5172","0.5172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3789","0.3789","0.3789","0.2789","0.2789","0.2789","0.4427","0.4427","0.4427","0.4573","0.4573","0.4573"
"199","0.4336","0.4336","0.4336","0.5137","0.5137","0.5137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3795","0.3795","0.3795","0.2802","0.2802","0.2802","0.458","0.458","0.458","0.4497","0.4497","0.4497"
"200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4565","0.4565","0.4565","0.4584","0.4584","0.4584"
